species,lon,lat
Egernia cunninghami,149.136194,-30.78491782
Egernia cunninghami,150.6089568,-33.25390931
Egernia cunninghami,150.05,-36.26
Egernia cunninghami,143.42,-38.17
Egernia cunninghami,148.3529988,-36.35343413
Egernia cunninghami,150.65,-24.266667
Egernia cunninghami,146.1630554,-35.06082916
Egernia cunninghami,150.99473,-24.72386
Egernia cunninghami,149.7836852,-35.55775601
Egernia cunninghami,144.75,-37.925
Egernia cunninghami,150.7745876,-33.69426321
Egernia cunninghami,139.0013595,-35.3485308
Egernia cunninghami,153.1906598,-30.14454236
Egernia cunninghami,145.39,-37.53
Egernia cunninghami,151.3540887,-32.95435537
Egernia cunninghami,150.1562576,-32.25447233
Egernia cunninghami,143.9511,-37.30806
Egernia cunninghami,152.0277676,-32.39933436
Egernia cunninghami,148.8512121,-35.49844472
Egernia cunninghami,144.7477875,-36.98028183
Egernia cunninghami,153.1484008,-30.2009536
Egernia cunninghami,147.4608317,-34.27146515
Egernia cunninghami,139.015,-34.34083
Egernia cunninghami,145.16,-37.02
Egernia cunninghami,153.0502257,-26.65673866
Egernia cunninghami,150.6270858,-33.57421371
Egernia cunninghami,149.8678114,-26.86512576
Egernia cunninghami,138.5936,-33.86139
Egernia cunninghami,153.0960182,-28.41079573
Egernia cunninghami,139.91217,-35.16715
Egernia cunninghami,150.9011297,-33.09313515
Egernia cunninghami,145.75,-37.54
Egernia cunninghami,148.86,-33.1
Egernia cunninghami,151.25,-28.41667
Egernia cunninghami,144.68,-38.14
Egernia cunninghami,151.7102603,-24.15207823
Egernia cunninghami,148.5908637,-36.47954916
Egernia cunninghami,149.13444,-35.85869
Egernia cunninghami,144.617979,-37.93182969
Egernia cunninghami,149.7703507,-37.01807081
Egernia cunninghami,150.7289,-32.28444
Egernia cunninghami,138.74722,-35.33139
Egernia cunninghami,149.4826248,-26.6214476
Egernia cunninghami,152.7317246,-29.91874875
Egernia cunninghami,150.9968482,-28.0368081
Egernia cunninghami,144.5111,-35.64972
Egernia cunninghami,149.9,-37.24
Egernia cunninghami,145.62,-37.77
Egernia cunninghami,151.2729086,-33.48818674
Egernia cunninghami,149.7566147,-30.64805724
Egernia cunninghami,146.9219991,-32.85015855
Egernia cunninghami,141.45,-37.92
Egernia cunninghami,145.4179375,-35.41513978
Egernia cunninghami,150.7356026,-34.18520507
Egernia cunninghami,153.0351618,-29.61036708
Egernia cunninghami,151.2178,-29.72611
Egernia cunninghami,151.3514572,-33.09674115
Egernia cunninghami,140.86713,-35.31444
Egernia cunninghami,152.8867,-31.3975
Egernia cunninghami,148.989,-35.412
Egernia cunninghami,152.1998772,-31.23760937
Egernia cunninghami,144.66,-37.99
Egernia cunninghami,148.62,-37.12
Egernia cunninghami,151.6378029,-31.69567801
Egernia cunninghami,145.0519,-35.00667
Egernia cunninghami,148.367043,-33.09947357
Egernia cunninghami,153.1702778,-27.50194444
Egernia cunninghami,145.8233,-37.91861
Egernia cunninghami,153.0114863,-30.34113711
Egernia cunninghami,153.5010608,-28.34841072
Egernia cunninghami,141.19,-37.44
Egernia cunninghami,141.08,-37.56
