species,lon,lat
Rhinella marina,129.066,-15.483
Rhinella marina,129.266235,-15.982453
Rhinella marina,129.8190299,-14.6925864
Rhinella marina,130.64708,-12.41705
Rhinella marina,130.65031,-12.42942
Rhinella marina,130.6910555,-13.21393985
Rhinella marina,130.6910574,-13.21422005
Rhinella marina,130.6910574,-13.21422005
Rhinella marina,130.70467,-12.44385
Rhinella marina,130.70586,-12.4165
Rhinella marina,130.71172,-13.85028
Rhinella marina,130.71445,-13.91436
Rhinella marina,130.714841,-13.847621
Rhinella marina,130.71507,-13.91486
Rhinella marina,130.71819,-13.9191
Rhinella marina,130.72016,-13.83633
Rhinella marina,130.72251,-13.26634
Rhinella marina,130.7276779,-13.26698811
Rhinella marina,130.75157,-13.96525
Rhinella marina,130.75262,-13.97212
Rhinella marina,130.75488,-13.96826
Rhinella marina,130.7556013,-13.28886071
Rhinella marina,130.7556013,-13.28886071
Rhinella marina,130.78055,-14.05028
Rhinella marina,130.78199,-13.41158
Rhinella marina,130.7820447,-13.41145636
Rhinella marina,130.7820447,-13.41145636
Rhinella marina,130.78514,-14.05594
Rhinella marina,130.78558,-13.42888
Rhinella marina,130.78731,-13.42659
Rhinella marina,130.7901693,-13.43880342
Rhinella marina,130.7917119,-13.43886475
Rhinella marina,130.7919997,-13.11325833
Rhinella marina,130.83568,-13.52293
Rhinella marina,130.845,-12.382
Rhinella marina,130.85542,-13.49502
Rhinella marina,130.8574187,-13.49731716
Rhinella marina,130.85959,-14.05684
Rhinella marina,130.85983,-14.04394
Rhinella marina,130.867102,-14.049478
Rhinella marina,130.8681697,-13.49736383
Rhinella marina,130.88368,-14.19307
Rhinella marina,130.8915283,-12.5401922
Rhinella marina,130.9122843,-12.5476827
Rhinella marina,130.918641,-12.536384
Rhinella marina,130.9219,-14.22939
Rhinella marina,130.9254669,-12.5263934
Rhinella marina,130.9492887,-12.9543945
Rhinella marina,130.9492887,-12.9543945
Rhinella marina,130.96259,-13.26358
Rhinella marina,130.9631018,-13.26474989
Rhinella marina,130.9640123,-13.2655382
Rhinella marina,130.9640123,-13.2655382
Rhinella marina,130.9649889,-13.26421116
Rhinella marina,130.9649889,-13.26421116
Rhinella marina,130.96529,-13.26373
Rhinella marina,130.9653604,-13.0119176
Rhinella marina,130.969325,-13.013243
Rhinella marina,130.9727329,-13.0129371
Rhinella marina,130.9727329,-13.0129371
Rhinella marina,130.9766209,-13.0139017
Rhinella marina,130.9766209,-13.0139017
Rhinella marina,130.98588,-12.98684
Rhinella marina,131.0029004,-12.9865327
Rhinella marina,131.012,-14.33332
Rhinella marina,131.01349,-14.33507
Rhinella marina,131.03502,-14.32832
Rhinella marina,131.0493,-14.32863
Rhinella marina,131.0530443,-14.12350793
Rhinella marina,131.16117,-13.91115
Rhinella marina,131.1622,-13.45106667
Rhinella marina,131.16297,-13.45213333
Rhinella marina,131.16493,-13.44661667
Rhinella marina,131.16773,-13.4465
Rhinella marina,131.16837,-13.44411667
Rhinella marina,131.2917,-12.62327
Rhinella marina,131.30187,-12.60347
Rhinella marina,131.31544,-12.64049
Rhinella marina,131.32319,-12.65147
Rhinella marina,131.3579808,-13.5700562
Rhinella marina,131.650433,-12.906287
Rhinella marina,131.651473,-12.908286
Rhinella marina,131.820278,-13.638611
Rhinella marina,131.851667,-13.616667
Rhinella marina,132.040129,-13.35680059
Rhinella marina,132.16764,-14.19477
Rhinella marina,132.1676432,-14.19726136
Rhinella marina,132.169706,-14.19516323
Rhinella marina,132.18371,-14.19599
Rhinella marina,132.2067666,-14.21246208
Rhinella marina,132.21735,-14.22054
Rhinella marina,132.2174166,-14.21984835
Rhinella marina,132.21869,-14.21834
Rhinella marina,132.2820262,-14.19839843
Rhinella marina,132.2820262,-14.19839843
Rhinella marina,132.2896848,-14.01113298
Rhinella marina,132.30074,-13.19393
Rhinella marina,132.30194,-13.19274
Rhinella marina,132.32184,-14.20392
Rhinella marina,132.3227,-14.20366
Rhinella marina,132.3407211,-14.06760596
Rhinella marina,132.34433,-11.39369
Rhinella marina,132.35384,-11.36309
Rhinella marina,132.36002,-11.38723
Rhinella marina,132.38057,-14.16994
Rhinella marina,132.3808166,-14.1697982
Rhinella marina,132.3808167,-14.1697982
Rhinella marina,132.38132,-14.17009
Rhinella marina,132.3813219,-14.17014699
Rhinella marina,132.3826609,-13.81658587
Rhinella marina,132.3826609,-13.81658587
Rhinella marina,132.3918548,-14.12904159
Rhinella marina,132.3918548,-14.12904159
Rhinella marina,132.3922325,-14.13001229
Rhinella marina,132.39841,-14.30702
Rhinella marina,132.398419,-14.30702014
Rhinella marina,132.400871,-14.30728184
Rhinella marina,132.400871,-14.30728184
Rhinella marina,132.4090233,-13.44146698
Rhinella marina,132.4090233,-13.44146698
Rhinella marina,132.4091967,-13.44250769
Rhinella marina,132.4091967,-13.44250769
Rhinella marina,132.4133285,-13.81450811
Rhinella marina,132.4146629,-14.2961493
Rhinella marina,132.4146629,-14.2961493
Rhinella marina,132.4162391,-14.4580757
Rhinella marina,132.417304,-14.29525657
Rhinella marina,132.417304,-14.29525657
Rhinella marina,132.4243864,-14.32893872
Rhinella marina,132.4256869,-14.32783266
Rhinella marina,132.4288291,-13.44936729
Rhinella marina,132.4288291,-13.44936729
Rhinella marina,132.4316724,-13.4493331
Rhinella marina,132.4316724,-13.4493331
Rhinella marina,132.4360746,-14.25251308
Rhinella marina,132.4366611,-14.25306141
Rhinella marina,132.4366611,-14.25306141
Rhinella marina,132.43701,-14.29038
Rhinella marina,132.43707,-14.25355
Rhinella marina,132.439177,-14.439193
Rhinella marina,132.44608,-13.51328
Rhinella marina,132.44608,-13.51328
Rhinella marina,132.4467487,-14.4426267
Rhinella marina,132.4478868,-14.4371194
Rhinella marina,132.4522308,-14.4463809
Rhinella marina,132.45288,-13.52138
Rhinella marina,132.45288,-13.52138
Rhinella marina,132.454145,-14.453312
Rhinella marina,132.4541747,-14.13217607
Rhinella marina,132.45621,-14.13245
Rhinella marina,132.46388,-13.51298
Rhinella marina,132.4708537,-14.21593535
Rhinella marina,132.4708537,-14.21593535
Rhinella marina,132.4811888,-14.33751652
Rhinella marina,132.4812447,-14.12866699
Rhinella marina,132.4816783,-14.336004
Rhinella marina,132.4816783,-14.336004
Rhinella marina,132.48215,-14.12653
Rhinella marina,132.4821569,-14.12653545
Rhinella marina,132.48407,-13.41257
Rhinella marina,132.48709,-13.41096
Rhinella marina,132.4870939,-13.41096283
Rhinella marina,132.4938914,-13.9430271
Rhinella marina,132.4964669,-13.94350534
Rhinella marina,132.49684,-12.84759
Rhinella marina,132.50598,-13.51538
Rhinella marina,132.50748,-13.51628
Rhinella marina,132.50928,-13.51758
Rhinella marina,132.51068,-13.50728
Rhinella marina,132.538258,-12.929375
Rhinella marina,132.54553,-13.52246
Rhinella marina,132.54658,-13.5224
Rhinella marina,132.55202,-13.53164
Rhinella marina,132.5547925,-14.37048567
Rhinella marina,132.5586154,-14.26295125
Rhinella marina,132.5586154,-14.26295125
Rhinella marina,132.5605076,-14.26185938
Rhinella marina,132.5605076,-14.26185938
Rhinella marina,132.5605076,-14.26185938
Rhinella marina,132.5627872,-14.34854201
Rhinella marina,132.5627872,-14.34854201
Rhinella marina,132.5633551,-14.34658736
Rhinella marina,132.5633551,-14.34658736
Rhinella marina,132.5676775,-14.11170465
Rhinella marina,132.5680942,-13.82349944
Rhinella marina,132.5680942,-13.82349944
Rhinella marina,132.5693309,-14.39386321
Rhinella marina,132.5693309,-14.39386321
Rhinella marina,132.57068,-13.49588
Rhinella marina,132.57258,-13.49728
Rhinella marina,132.57348,-13.49808
Rhinella marina,132.58668,-13.57278
Rhinella marina,132.58858,-13.57158
Rhinella marina,132.58868,-13.56835
Rhinella marina,132.58886,-13.56648
Rhinella marina,132.5913412,-13.91278662
Rhinella marina,132.5913412,-13.91278662
Rhinella marina,132.5940043,-13.9119546
Rhinella marina,132.5940043,-13.9119546
Rhinella marina,132.60487,-13.63907
Rhinella marina,132.60487,-13.63907
Rhinella marina,132.60549,-13.63651
Rhinella marina,132.60549,-13.63651
Rhinella marina,132.6237,-13.74152
Rhinella marina,132.6237,-13.74152
Rhinella marina,132.62437,-13.74413
Rhinella marina,132.62437,-13.74413
Rhinella marina,132.6485547,-13.84435159
Rhinella marina,132.65047,-13.84606861
Rhinella marina,132.6508663,-14.09886995
Rhinella marina,132.6508663,-14.09886995
Rhinella marina,132.65319,-13.43398
Rhinella marina,132.6532073,-14.21615105
Rhinella marina,132.653336,-14.09905665
Rhinella marina,132.6533361,-14.09905665
Rhinella marina,132.6590529,-14.13570492
Rhinella marina,132.6590529,-14.13570492
Rhinella marina,132.6600972,-14.13226364
Rhinella marina,132.6807234,-14.02055154
Rhinella marina,132.6822422,-14.01859636
Rhinella marina,132.6822422,-14.01859636
Rhinella marina,132.6902498,-14.3664253
Rhinella marina,132.69654,-13.25989
Rhinella marina,132.69713,-13.26292
Rhinella marina,132.69855,-13.72826
Rhinella marina,132.69979,-13.72957
Rhinella marina,132.70022,-13.73216
Rhinella marina,132.70057,-13.73021
Rhinella marina,132.70359,-13.56748
Rhinella marina,132.7044176,-13.56546067
Rhinella marina,132.70473,-13.56624
Rhinella marina,132.7059292,-13.564824
Rhinella marina,132.7262818,-14.34198084
Rhinella marina,132.7262818,-14.34198084
Rhinella marina,132.7358918,-14.38623828
Rhinella marina,132.736643,-14.38804353
Rhinella marina,132.736643,-14.38804353
Rhinella marina,132.746389,-12.772778
Rhinella marina,132.7669,-13.73241
Rhinella marina,132.76943,-13.73498
Rhinella marina,132.7706968,-13.7338535
Rhinella marina,132.7767138,-13.73095298
Rhinella marina,132.7767138,-13.73095298
Rhinella marina,132.78619,-13.87188
Rhinella marina,132.78639,-13.87248
Rhinella marina,132.78769,-13.87388
Rhinella marina,132.78849,-13.87348
Rhinella marina,132.79179,-13.87448
Rhinella marina,132.79203,-13.87527
Rhinella marina,132.84369,-13.28328
Rhinella marina,132.84386,-13.28295
Rhinella marina,132.85255,-13.44355
Rhinella marina,132.85302,-13.44375
Rhinella marina,132.85539,-13.96828
Rhinella marina,132.85679,-13.96788
Rhinella marina,132.85679,-13.96648
Rhinella marina,132.85779,-13.96708
Rhinella marina,132.85859,-13.96598
Rhinella marina,132.85969,-13.96058
Rhinella marina,132.86019,-13.96168
Rhinella marina,132.86299,-13.96678
Rhinella marina,132.86309,-13.96588
Rhinella marina,132.88361,-12.9947
Rhinella marina,132.89097,-13.34611
Rhinella marina,132.8923962,-13.34491063
Rhinella marina,132.89399,-13.34456
Rhinella marina,132.8947185,-13.34316772
Rhinella marina,132.90289,-13.94278
Rhinella marina,132.9178,-12.88873
Rhinella marina,132.91919,-12.88665
Rhinella marina,132.91919,-12.88665
Rhinella marina,132.921295,-12.662614
Rhinella marina,132.921295,-12.662614
Rhinella marina,132.93787,-13.04443
Rhinella marina,132.93855,-13.0424
Rhinella marina,132.95975,-13.60635
Rhinella marina,132.9601634,-13.60643356
Rhinella marina,132.96024,-13.60743
Rhinella marina,132.9606726,-13.60739567
Rhinella marina,132.98035,-12.86066
Rhinella marina,132.98035,-12.86066
Rhinella marina,132.98138,-13.17531
Rhinella marina,132.98441,-13.35033
Rhinella marina,132.9866,-12.84425
Rhinella marina,132.98862,-13.17833
Rhinella marina,132.99211,-13.09411
Rhinella marina,132.99378,-13.09532
Rhinella marina,133.066667,-14.920833
Rhinella marina,133.09709,-14.82208
Rhinella marina,133.3813291,-16.43943304
Rhinella marina,133.4033215,-16.30651191
Rhinella marina,133.4372526,-17.3667458
Rhinella marina,133.4410675,-17.38186644
Rhinella marina,133.4524819,-17.26745337
Rhinella marina,133.45559,-15.70107
Rhinella marina,133.5407077,-17.53987635
Rhinella marina,133.66839,-14.75167
Rhinella marina,133.72309,-14.82297
Rhinella marina,133.72862,-12.70967
Rhinella marina,133.75449,-14.67187
Rhinella marina,133.7934594,-12.12907459
