lon,lat
144.82,-37.82
144.53,-37.79
144.6,-37.83
144.82,-37.81
144.63,-37.58
144.9,-37.61
144.78,-37.76
144.2,-35.99
146.54,-36.31
146.67,-36.31
146.67,-36.25
147.23,-36.33
147.33,-36.37
144.54,-37.71
148.959,-35.448
150.2409706,-35.1639377
150.0796468,-30.29160799
150.0230501,-33.82048458
150.8172502,-34.35625011
148.7820016,-36.24698848
151.3216672,-33.39160715
150.8556221,-34.06222406
150.8923547,-34.04796432
151.3093554,-33.54709886
151.0193468,-34.19868973
150.6911519,-34.16140388
144.51,-37.89
144.7,-37.82
145.05,-37.73
144.72,-37.72
144.47,-37.93
146.95,-36.2
145.2,-37.13
145.79,-36.8
144.2,-37.89
146.95,-36.2
146.95,-36.2
151.9219225,-28.83395898
151.936089,-28.83312553
151.9369222,-28.82729219
151.5625158,-28.92625833
151.6650656,-28.20458457
151.0361,-28.0384
152.0347086,-28.86506395
152.0083204,-28.89034193
152.0047094,-28.89811974
149.176,-35.263
149.042,-35.26
148.966,-35.878
149.037,-35.36
148.953,-35.644
148.953,-35.644
151.32971,-33.58138
152.566,-28.483
151.32666,-33.58027
149.9219855,-34.4616175
151.3856695,-33.52087406
152.0310984,-29.52200211
152.0136372,-29.51375156
151.2782432,-33.69079597
149.1976552,-36.24367793
148.6241407,-36.41600147
149.2417455,-36.48531834
151.0139807,-33.42138415
150.9017654,-31.8669794
150.9170157,-30.36328775
150.9106088,-30.3661624
149.2518116,-36.48603001
151.1032339,-33.5241765
152.2307314,-30.88568131
149.8524737,-34.22389602
149.8590563,-34.24749538
149.8725213,-34.24092441
149.8571828,-34.24890928
151.4183006,-33.51687911
151.406434,-33.52403172
150.7583152,-29.25678764
150.7515434,-29.25218091
148.8499933,-35.79384315
149.9251172,-33.54297282
149.0524741,-33.10964364
151.161233,-33.47996255
144.78,-37.67
144.48,-37.9
144.26,-37.86
144.47,-37.93
144.55,-37.85
144.77,-37.66
144.4,-37.58
145.11,-37.62
144.49,-37.66
144.85,-37.63
144.74,-37.61
144.74,-37.6
147.78,-36.68
144.76,-37.58
144.76,-37.58
145.67,-36.85
144.87,-37.66
143.04,-37.79
143.03,-37.73
146.95,-36.2
148.3,-36.97
148.12,-36.97
148.15,-36.92
146.95,-36.2
146.95,-36.2
146.95,-36.2
146.95,-36.2
151.9471874,-27.59507078
151.5224157,-28.48057068
151.6585965,-28.20590068
152.3472249,-27.98138897
152.2822222,-28.02138889
149.032,-35.364
148.937,-35.441
148.942,-35.327
148.93,-35.25
148.841,-35.538
149.037,-35.36
149.075,-35.519
152.2886,-30.44666
151.522222,-28.480556
150.75112,-29.25052
152.16111,-29.50333
150.27098,-30.38437
150.27098,-30.38437
152.1711,-30.2961
138.70711,-34.90133
138.71075,-34.90816
150.8152895,-34.20833394
150.0221604,-33.81998531
150.0213663,-33.8204619
151.2900877,-33.54899241
152.0067613,-31.27799043
152.00843,-31.27813867
149.5446399,-35.44498956
149.5393684,-35.42410724
150.8641565,-33.50495408
151.9019622,-31.39329472
151.9051695,-31.38881123
151.8895656,-31.37424195
151.890564,-31.37876156
151.0460463,-30.77240874
150.3667548,-33.7258888
150.8171124,-34.35611242
152.0228009,-29.52645358
152.2897446,-30.44501043
152.2274302,-30.4229997
150.023578,-33.8174054
150.0216968,-33.82338154
150.0231322,-33.81250884
150.0235981,-33.81745096
151.1156493,-32.77383835
151.293502,-33.02961054
151.2910785,-33.030362
151.11671,-32.77365589
151.1161734,-32.77379212
149.7205587,-35.2883532
151.2910785,-33.030362
151.7952999,-31.34515272
151.7951687,-31.34307647
149.2524206,-33.7929991
150.0793281,-30.29114094
151.0679815,-30.71507496
151.8342553,-31.38277278
151.8342553,-31.38277278
151.4682736,-30.69779047
150.1760173,-32.68773245
151.6326894,-29.30102066
151.8466535,-30.92456146
151.8669934,-30.88594464
150.8585549,-33.51387445
151.3288065,-33.5797316
150.9830048,-34.21191064
150.3227564,-33.74101166
150.1760133,-32.68785859
151.2559122,-32.91317312
151.4302745,-31.0771787
151.423455,-31.06804694
151.4222845,-31.06213258
148.4372536,-36.44169977
149.3579689,-35.40594914
148.3606143,-35.94994389
151.0699372,-30.71753074
151.8342553,-31.38277278
151.8342553,-31.38277278
152.1631671,-31.23286446
152.163191,-31.23015789
152.4147,-29.56575998
151.4976137,-31.49022921
152.4136938,-29.56124308
147.9199269,-34.83666157
151.2866066,-32.25789834
150.2067067,-34.07323351
150.2062114,-34.07775663
150.2531491,-33.86035654
147.9199269,-34.83666157
150.3570521,-34.70174734
150.3551784,-34.65087394
150.9427596,-32.63714104
150.018189,-33.97380842
150.6118855,-33.0709662
151.0937919,-33.46379351
149.7818873,-33.44079501
148.951909,-35.765991
144.39,-37.72
144.7,-37.81
144.72,-37.81
144.43,-37.9
145.09,-37.66
144.97,-37.65
144.49,-37.7
144.95,-37.6
147.45,-36.29
147.57,-36.29
147.87,-36.15
146.64,-36.35
146.95,-36.2
151.953575,-27.47284864
151.97208,-27.65686
151.9410625,-27.78154697
150.7976577,-33.49567416
150.6232763,-34.23028573
151.2698095,-33.80887253
150.9524944,-33.59301224
150.9681532,-33.36116217
144.73,-37.72
144.42,-37.86
144.82,-37.42
144.81,-37.42
144.97,-37.62
145.04,-37.72
145.04,-37.68
144.97,-37.67
145.75,-37.4
144.58,-37.79
144.57,-37.73
144.64,-37.9
145,-37.79
145.07,-37.62
148.13,-36.81
145.09,-37.68
144.69,-37.54
145.73,-37.35
145.72,-36.88
146.95,-36.2
143.63,-37.73
143.63,-37.73
144.67,-37.67
146.95,-36.2
144.87,-37.63
146.95,-36.2
146.95,-36.2
146.95,-36.2
146.95,-36.2
151.9208333,-27.60972222
151.9369222,-28.82729219
152.3660634,-28.06362194
152.00555,-27.721388
148.965,-35.313
148.965,-35.313
149.017,-35.385
149.102,-35.291
149.046,-35.257
148.954,-35.748
148.987,-35.655
148.986,-35.847
149.026,-35.224
148.959,-35.448
148.959,-35.448
148.972,-35.642
148.972,-35.642
148.972,-35.642
148.972,-35.642
148.972,-35.642
148.972,-35.642
148.972,-35.642
152.14221,-28.94499
150.15972,-33.62027
150.9797477,-33.39417539
138.18902,-35.66415
152.0369731,-28.81818392
149.5650998,-32.6252265
151.0547941,-34.16724793
150.1923687,-33.32808233
151.2187931,-33.79461992
151.0983428,-34.15294477
151.0967114,-34.1545966
151.8926547,-29.34855382
147.9771348,-35.91824613
147.9771348,-35.91824613
147.7769192,-35.89756518
150.3696614,-34.96101166
150.3798359,-34.97502352
150.3823596,-34.94046336
151.5883371,-32.98772182
148.7091485,-34.37232917
148.9214898,-34.83462439
152.2205827,-30.86449723
152.2298305,-30.88263469
152.2097593,-30.87441105
149.195348,-34.07759098
149.3491061,-36.45531149
150.9861432,-33.36857926
152.225409,-30.88394893
152.2318656,-30.88243548
